gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
948836	948836	GO:0003677;GO:0006310;GO:0007059;GO:0009037;GO:0015074;GO:0043565;GO:0048476;GO:0071139	GO:0006310;GO:0007059;GO:0015074;GO:0071139	GO:0003677;GO:0009037;GO:0043565	GO:0048476
948838	948838	GO:0007155;GO:0009289;GO:0042802;GO:0043709	GO:0007155;GO:0043709	GO:0042802	GO:0009289
302211672	302211672				
948841	948841	GO:0007155;GO:0009289;GO:0009297;GO:0043709	GO:0007155;GO:0009297;GO:0043709		GO:0009289
948843	948843	GO:0005515;GO:0006457;GO:0030288;GO:0042597;GO:0044183;GO:0071555	GO:0006457;GO:0071555	GO:0005515;GO:0044183	GO:0030288;GO:0042597
948844	948844	GO:0005515;GO:0009279;GO:0009297;GO:0015473;GO:0016020;GO:0055085	GO:0009297;GO:0055085	GO:0005515;GO:0015473	GO:0009279;GO:0016020
948845	948845	GO:0007155;GO:0007638;GO:0009289;GO:0009297;GO:0009419;GO:0031589;GO:0043709	GO:0007155;GO:0007638;GO:0009297;GO:0031589;GO:0043709		GO:0009289;GO:0009419
948846	948846	GO:0005515;GO:0007155;GO:0007638;GO:0009289;GO:0009419;GO:0031589;GO:0043709	GO:0007155;GO:0007638;GO:0031589;GO:0043709	GO:0005515	GO:0009289;GO:0009419
948847	948847	GO:0005515;GO:0005537;GO:0007155;GO:0007638;GO:0009289;GO:0009419;GO:0031589;GO:0033644;GO:0043709	GO:0007155;GO:0007638;GO:0031589;GO:0043709	GO:0005515;GO:0005537	GO:0009289;GO:0009419;GO:0033644
948848	948848	GO:0005351;GO:0005886;GO:0015128;GO:0016020;GO:0019521;GO:0034219;GO:0035429;GO:1902600	GO:0019521;GO:0034219;GO:0035429;GO:1902600	GO:0005351;GO:0015128	GO:0005886;GO:0016020
947082	947082	GO:0006064;GO:0006974;GO:0008198;GO:0008927;GO:0016829;GO:0030145;GO:0042840	GO:0006064;GO:0006974;GO:0042840	GO:0008198;GO:0008927;GO:0016829;GO:0030145	
946795	946795	GO:0003824;GO:0008866;GO:0016491;GO:0016616;GO:0019594;GO:0042840	GO:0019594;GO:0042840	GO:0003824;GO:0008866;GO:0016491;GO:0016616	
948849	948849	GO:0000987;GO:0003677;GO:0003700;GO:0006351;GO:0006355	GO:0006351;GO:0006355	GO:0000987;GO:0003677;GO:0003700	
948850	948850				
38094978	38094978	GO:0005886			GO:0005886
38094979	38094979				
38094980	38094980	GO:0006417	GO:0006417		
948851	948851	GO:0005515;GO:0005737;GO:0006974;GO:0034599;GO:0042177;GO:0043856;GO:0045893	GO:0006974;GO:0034599;GO:0042177;GO:0045893	GO:0005515;GO:0043856	GO:0005737
948852	948852	GO:0000976;GO:0003677;GO:0003700;GO:0006355;GO:0042802	GO:0006355	GO:0000976;GO:0003677;GO:0003700;GO:0042802	
