aspect,go_id,count
BP,GO:0006878,4
BP,GO:0010272,4
BP,GO:0035434,4
BP,GO:0006825,4
BP,GO:0019290,4
BP,GO:0042744,4
BP,GO:0000302,4
BP,GO:0006084,4
BP,GO:0043953,4
BP,GO:0034355,4
BP,GO:0098712,4
BP,GO:0006046,4
BP,GO:0015772,4
BP,GO:0007062,4
BP,GO:0006470,4
BP,GO:0042939,4
BP,GO:0009313,4
BP,GO:0015689,4
BP,GO:0032049,4
BP,GO:1900727,4
BP,GO:1902047,4
BP,GO:0016070,4
BP,GO:0046210,4
BP,GO:0018907,4
BP,GO:0015724,4
BP,GO:0019294,4
BP,GO:0009094,4
BP,GO:0051782,4
BP,GO:0098775,4
BP,GO:1900231,4
BP,GO:0036104,4
BP,GO:0098708,4
BP,GO:0089705,4
BP,GO:0000918,4
BP,GO:0005993,4
BP,GO:0005991,4
BP,GO:0019353,4
BP,GO:0006011,4
BP,GO:0030003,4
BP,GO:0006568,4
BP,GO:0080135,4
BP,GO:0009271,4
BP,GO:0015771,4
BP,GO:0006559,4
BP,GO:0032787,4
BP,GO:0019477,4
BP,GO:0015801,4
BP,GO:0019594,4
BP,GO:0015811,4
BP,GO:0006796,4
BP,GO:0006468,4
BP,GO:0002949,4
BP,GO:0006565,4
BP,GO:0001510,4
BP,GO:0050920,4
BP,GO:0071977,4
BP,GO:0042882,4
BP,GO:1903712,4
BP,GO:0042245,4
BP,GO:0019305,4
BP,GO:0006535,4
BP,GO:0015796,4
BP,GO:2001059,4
BP,GO:0015861,4
BP,GO:0015862,4
BP,GO:0015838,4
BP,GO:0015765,4
BP,GO:0009185,4
BP,GO:0006072,4
BP,GO:0006083,4
BP,GO:1903810,4
BP,GO:0034763,4
BP,GO:1902344,4
BP,GO:0019628,4
BP,GO:0045727,4
BP,GO:0000724,4
BP,GO:0046685,4
BP,GO:0015808,4
BP,GO:0015825,4
BP,GO:0071139,4
BP,GO:0043488,4
BP,GO:0046392,4
BP,GO:0005978,4
BP,GO:0005980,4
BP,GO:0005977,4
BP,GO:0015968,4
BP,GO:0015753,4
BP,GO:1904823,4
BP,GO:0034194,4
BP,GO:1904981,4
BP,GO:0140271,4
BP,GO:0046183,4
BP,GO:0012501,4
BP,GO:0009067,3
BP,GO:0016032,3
BP,GO:0010446,3
BP,GO:0009257,3
BP,GO:0036506,3
BP,GO:0019569,3
BP,GO:0019572,3
BP,GO:0071934,3
BP,GO:0036448,3
BP,GO:0034198,3
BP,GO:0015836,3
BP,GO:0006612,3
BP,GO:0006203,3
BP,GO:0006177,3
BP,GO:0032263,3
BP,GO:0016540,3
BP,GO:0006523,3
BP,GO:0006397,3
BP,GO:0002097,3
BP,GO:0006424,3
BP,GO:0006821,3
BP,GO:0009164,3
BP,GO:0006808,3
BP,GO:0043164,3
BP,GO:0016024,3
BP,GO:0006273,3
